Gene_novo,LOC_original,Comparacao,Tecido_ou_nivel,Direcao,log2FC,padj
MUC5AC,LOC100356613,RCV_vs_RHDV,Duodeno,up,6.35,0.00022
XIRP2,LOC100357577,RCV_vs_RHDV,Duodeno,up,5.60,0.0049
TFF1,LOC100358238,RCV_vs_RHDV,Duodeno,up,2.71,0.0305
CYP1B1,LOC100358590,RCV_vs_RHDV,Duodeno,up,2.28,0.0064
FCGR1A,LOC100358696,RHDV_vs_CONTROL,Figado,up,4.55,0.0452
FCGR1A,LOC100358696,RHDV_vs_RCV_4dpi,Tempo(geral),up,1.28,0.0352
FCGR1A,LOC100358696,RCV_4dpi_vs_CONTROL,Tempo(geral),up,1.19,0.0014
FCGR1A,LOC100358696,RHDV_14dpi_vs_4dpi,Tempo(geral),down,-2.48,7.9e-07
FCGR1A,LOC100358696,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,2.81,8.1e-09
ASPH,LOC100008743,RCV_vs_RHDV,Duodeno,up,1.93,0.0223
IFGGA1,LOC100343036,RCV_vs_CONTROL,Duodeno,up,5.25,0.0045 (ISG)
IFGGA1,LOC100343036,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,1.44,0.0075
ADGRB2,LOC103344989,RHDV_vs_CONTROL,Baco,down,-1.67,0.0457
ADGRB2,LOC103344989,RHDV_vs_RCV_4dpi,Tempo(geral),down,-1.45,0.0429
ADGRB2,LOC103344989,RHDV_4dpi_vs_CONTROL,Tempo(geral),down,-1.71,0.0026
GABRB1,LOC103345156,RCV_vs_RHDV,Duodeno,down,-1.81,0.0497
THSD4,LOC103345358,RCV_vs_RHDV,Baco,up,1.55,0.0337
THSD4,LOC103345358,RHDV_vs_CONTROL,Baco,down,-1.73,0.0227
ELN,LOC103344988,RCV_vs_RHDV,Duodeno,up,2.20,0.0411
SRGAP3,LOC103345512,RCV_vs_RHDV,Duodeno,up,1.41,0.0450
SDK1,LOC103345855,RHDV_vs_CONTROL,Baco,down,-1.09,0.00034 (forte)
NID1,LOC103347221,RCV_vs_RHDV,Duodeno,up,1.37,0.0193
ANO1,LOC103346912,RCV_vs_RHDV,Baco,up,1.07,0.0222
ANO1,LOC103346912,RHDV_vs_CONTROL,Baco,down,-1.26,0.0136
ANO1,LOC103346912,RCV_vs_RHDV,Duodeno,up,2.24,0.0242
ANO1,LOC103346912,RHDV_vs_RCV_4dpi,Tempo(geral),down,-1.59,0.0264
TRABD2A,LOC103347640,RCV_vs_RHDV,Duodeno,down,-2.57,0.0211
BHLHE41,LOC103348986,RCV_vs_RHDV,Duodeno,up,1.45,0.0475
PPBP_CXCL7,LOC103350775,RHDV_vs_CONTROL,Baco,up,2.42,0.0241
PPBP_CXCL7,LOC103350775,RHDV_vs_RCV_4dpi,Tempo(geral),up,1.16,0.0335
PPBP_CXCL7,LOC103350775,RHDV_14dpi_vs_4dpi,Tempo(geral),down,-1.51,0.0454
PPBP_CXCL7,LOC103350775,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,2.63,3.1e-06
NPAS4,LOC103352076,RCV_vs_RHDV,Duodeno,up,3.96,0.00084
NPAS4,LOC103352076,RCV_vs_CONTROL,Duodeno,up,3.40,0.0484
PTGIS,LOC103352392,RCV_vs_RHDV,Duodeno,up,1.88,0.0267
KIAA0319,LOC108177410,RCV_vs_RHDV,Duodeno,down,-1.05,0.0210
HERC5,LOC108178049,RHDV_vs_CONTROL,Duodeno,up,4.76,0.0246 (ISG)
HERC5,LOC108178049,RCV_vs_CONTROL,Duodeno,up,5.64,0.0022
HERC5,LOC108178049,RHDV_vs_RCV_4dpi,Tempo(geral),up,1.29,0.0280
HERC5,LOC108178049,RHDV_14dpi_vs_4dpi,Tempo(geral),down,-1.93,7.9e-11
HERC5,LOC108178049,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,2.84,4.3e-15
HERC2,LOC108178363,RHDV_vs_CONTROL,Baco,down,-1.12,0.0391
